"product_id","store_id","date","sales","revenue","stock","price","promo_type_1","promo_bin_1","promo_type_2","promo_bin_2","promo_discount_2","promo_discount_type_2","product_length","product_depth","product_width","cluster_id","hierarchy1_id","hierarchy2_id","hierarchy3_id","hierarchy4_id","hierarchy5_id","storetype_id","store_size","city_id"
"P0283","S0108","2018-05-25","0","0","26","25.9","PR14",NULL,"PR03",NULL,NULL,NULL,"1.5","12.0","17.0","cluster_0","H01","H0106","H010601","H01060114","H0106011422","ST04",35,"C016"
"P0283","S0110","2018-05-25","0","0","7","25.9","PR14",NULL,"PR03",NULL,NULL,NULL,"1.5","12.0","17.0","cluster_0","H01","H0106","H010601","H01060114","H0106011422","ST04",40,"C025"
"P0283","S0112","2018-05-25","0","0","49",NULL,"PR14",NULL,"PR03",NULL,NULL,NULL,"1.5","12.0","17.0","cluster_0","H01","H0106","H010601","H01060114","H0106011422","ST04",46,"C031"
"P0283","S0115","2018-05-25","0","0","6","25.9","PR14",NULL,"PR03",NULL,NULL,NULL,"1.5","12.0","17.0","cluster_0","H01","H0106","H010601","H01060114","H0106011422","ST04",45,"C020"
"P0283","S0117","2018-05-25","0","0","4","25.9","PR14",NULL,"PR03",NULL,NULL,NULL,"1.5","12.0","17.0","cluster_0","H01","H0106","H010601","H01060114","H0106011422","ST04",17,"C031"
"P0283","S0122","2018-05-25","0","0","6","25.9","PR14",NULL,"PR03",NULL,NULL,NULL,"1.5","12.0","17.0","cluster_0","H01","H0106","H010601","H01060114","H0106011422","ST04",23,"C008"
"P0283","S0123","2018-05-25","0","0","10","25.9","PR14",NULL,"PR03",NULL,NULL,NULL,"1.5","12.0","17.0","cluster_0","H01","H0106","H010601","H01060114","H0106011422","ST04",20,"C021"
"P0283","S0125","2018-05-25","0","0","23","25.9","PR14",NULL,"PR03",NULL,NULL,NULL,"1.5","12.0","17.0","cluster_0","H01","H0106","H010601","H01060114","H0106011422","ST04",24,"C022"
"P0283","S0131","2018-05-25","0","0","11","25.9","PR14",NULL,"PR03",NULL,NULL,NULL,"1.5","12.0","17.0","cluster_0","H01","H0106","H010601","H01060114","H0106011422","ST04",22,"C012"
"P0283","S0133","2018-05-25","0","0","6","25.9","PR14",NULL,"PR03",NULL,NULL,NULL,"1.5","12.0","17.0","cluster_0","H01","H0106","H010601","H01060114","H0106011422","ST04",24,"C028"
"P0283","S0137","2018-05-25","0","0","10","25.9","PR14",NULL,"PR03",NULL,NULL,NULL,"1.5","12.0","17.0","cluster_0","H01","H0106","H010601","H01060114","H0106011422","ST04",15,"C022"
"P0283","S0139","2018-05-25","0","0","8","25.9","PR14",NULL,"PR03",NULL,NULL,NULL,"1.5","12.0","17.0","cluster_0","H01","H0106","H010601","H01060114","H0106011422","ST04",20,"C035"
"P0283","S0144","2018-05-25","0","0","11","25.9","PR14",NULL,"PR03",NULL,NULL,NULL,"1.5","12.0","17.0","cluster_0","H01","H0106","H010601","H01060114","H0106011422","ST04",21,"C022"
"P0286","S0001","2018-05-25","1","1.06","38","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",41,"C031"
"P0286","S0002","2018-05-25","1","1.06","8","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",39,"C007"
"P0286","S0003","2018-05-25","9","9.58","13","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",17,"C014"
"P0286","S0004","2018-05-25","0","0","20","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",20,"C022"
"P0286","S0005","2018-05-25","0","0","40","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",19,"C001"
"P0286","S0006","2018-05-25","0","0","14","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",8,"C024"
"P0286","S0008","2018-05-25","2","2.13","19","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",27,"C024"
"P0286","S0009","2018-05-25","2","2.13","9","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",13,"C020"
"P0286","S0010","2018-05-25","0","0","80","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",17,"C014"
"P0286","S0011","2018-05-25","0","0","50","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",15,"C031"
"P0286","S0012","2018-05-25","0","0","80","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",28,"C005"
"P0286","S0013","2018-05-25","0","0","10","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",33,"C026"
"P0286","S0014","2018-05-25","1","1.06","10","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",14,"C014"
"P0286","S0015","2018-05-25","0","0","62","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",19,"C014"
"P0286","S0016","2018-05-25","0","0","37","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",11,"C014"
"P0286","S0018","2018-05-25","0","0","33","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",27,"C029"
"P0286","S0019","2018-05-25","0","0","10","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",12,"C030"
"P0286","S0020","2018-05-25","0","0","242","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",36,"C014"
"P0286","S0021","2018-05-25","0","0","23","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",15,"C024"
"P0286","S0022","2018-05-25","0","0","22","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",16,"C014"
"P0286","S0023","2018-05-25","0","0","381","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",31,"C008"
"P0286","S0024","2018-05-25","0","0","113","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",26,"C022"
"P0286","S0025","2018-05-25","0","0","15","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",25,"C024"
"P0286","S0026","2018-05-25","0","0","191","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",41,"C014"
"P0286","S0027","2018-05-25","1","1.06","65","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",24,"C022"
"P0286","S0028","2018-05-25","2","2.13","289",NULL,"PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST01",86,"C036"
"P0286","S0029","2018-05-25","2","2.13","13",NULL,"PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",15,"C022"
"P0286","S0030","2018-05-25","0","0","24","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",13,"C006"
"P0286","S0031","2018-05-25","3","3.19","27","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",41,"C036"
"P0286","S0032","2018-05-25","0","0","10","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",14,"C019"
"P0286","S0033","2018-05-25","1","1.06","61","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",16,"C025"
"P0286","S0034","2018-05-25","0","0","6","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",14,"C022"
"P0286","S0035","2018-05-25","0","0","118","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",17,"C022"
"P0286","S0036","2018-05-25","0","0","38","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",21,"C001"
"P0286","S0037","2018-05-25","0","0","17","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",18,"C035"
"P0286","S0038","2018-05-25","0","0","582","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST01",63,"C004"
"P0286","S0039","2018-05-25","0","0","13","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",15,"C014"
"P0286","S0040","2018-05-25","0","0","3","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",42,"C017"
"P0286","S0041","2018-05-25","0","0","3","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",8,"C013"
"P0286","S0042","2018-05-25","0","0","24","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",25,"C020"
"P0286","S0043","2018-05-25","0","0","104","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",37,"C025"
"P0286","S0044","2018-05-25","0","0","23","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST03",6,"C022"
"P0286","S0045","2018-05-25","1","1.06","11","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",17,"C008"
"P0286","S0046","2018-05-25","0","0","17","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",26,"C017"
"P0286","S0048","2018-05-25","0","0","25",NULL,"PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST01",83,"C031"
"P0286","S0049","2018-05-25","0","0","4","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",25,"C031"
"P0286","S0050","2018-05-25","1","1.06","13","1.15","PR14",NULL,"PR03",NULL,NULL,NULL,"4.5","13.0","9.0","cluster_3","H00","H0001","H000101","H00010105","H0001010501","ST04",31,"C014"
